gocam,sizes
http://model.geneontology.org/R-HSA-174178,105
http://model.geneontology.org/R-HSA-2500257,96
http://model.geneontology.org/R-HSA-8939902,96
http://model.geneontology.org/R-HSA-611105,95
http://model.geneontology.org/R-HSA-5632684,91
http://model.geneontology.org/R-HSA-163210,88
http://model.geneontology.org/R-HSA-156842,83
http://model.geneontology.org/R-HSA-8854691,82
http://model.geneontology.org/R-HSA-156902,79
http://model.geneontology.org/R-HSA-202424,77
http://model.geneontology.org/R-HSA-174084,76
http://model.geneontology.org/R-HSA-167827,70
http://model.geneontology.org/R-HSA-167826,70
http://model.geneontology.org/R-HSA-5687128,68
http://model.geneontology.org/R-HSA-9020702,67
http://model.geneontology.org/R-HSA-69017,65
http://model.geneontology.org/R-HSA-8951664,64
http://model.geneontology.org/R-HSA-2467813,64
http://model.geneontology.org/R-HSA-174154,62
http://model.geneontology.org/R-HSA-174184,62
http://model.geneontology.org/R-HSA-4420097,62
http://model.geneontology.org/R-HSA-68867,60
http://model.geneontology.org/R-HSA-5607764,58
http://model.geneontology.org/R-HSA-2871837,57
http://model.geneontology.org/R-HSA-6784531,57
http://model.geneontology.org/R-HSA-72086,57
http://model.geneontology.org/R-HSA-8948751,56
http://model.geneontology.org/R-HSA-69656,55
http://model.geneontology.org/R-HSA-195253,55
http://model.geneontology.org/R-HSA-9755511,55
http://model.geneontology.org/R-HSA-382556,54
http://model.geneontology.org/R-HSA-1169091,54
http://model.geneontology.org/R-HSA-8854050,53
http://model.geneontology.org/R-HSA-5610785,52
http://model.geneontology.org/R-HSA-5610783,52
http://model.geneontology.org/R-HSA-176408,52
http://model.geneontology.org/R-HSA-174113,51
http://model.geneontology.org/R-HSA-69202,51
http://model.geneontology.org/R-HSA-1236974,51
http://model.geneontology.org/R-HSA-68949,51
http://model.geneontology.org/R-HSA-5676590,51
http://model.geneontology.org/R-HSA-5610780,51
http://model.geneontology.org/R-HSA-9010553,51
http://model.geneontology.org/R-HSA-5607761,50
http://model.geneontology.org/R-HSA-8852276,50
http://model.geneontology.org/R-HSA-187577,50
http://model.geneontology.org/R-HSA-5358346,50
http://model.geneontology.org/R-HSA-69601,50
http://model.geneontology.org/R-HSA-983168,50
http://model.geneontology.org/R-HSA-983170,50
http://model.geneontology.org/R-HSA-9604323,49
http://model.geneontology.org/R-HSA-5693565,49
http://model.geneontology.org/R-HSA-1234176,49
http://model.geneontology.org/R-HSA-176407,49
http://model.geneontology.org/R-HSA-8939236,49
http://model.geneontology.org/R-HSA-349425,48
http://model.geneontology.org/R-HSA-5658442,48
http://model.geneontology.org/R-HSA-4641257,48
http://model.geneontology.org/R-HSA-69481,48
http://model.geneontology.org/R-HSA-4641258,47
http://model.geneontology.org/R-HSA-5628897,47
http://model.geneontology.org/R-HSA-5668541,47
http://model.geneontology.org/R-HSA-211733,46
http://model.geneontology.org/R-HSA-4608870,46
http://model.geneontology.org/R-HSA-75815,46
http://model.geneontology.org/R-HSA-5610787,46
http://model.geneontology.org/R-HSA-450408,45
http://model.geneontology.org/R-HSA-1236978,45
http://model.geneontology.org/R-HSA-8941858,45
http://model.geneontology.org/R-HSA-176409,45
http://model.geneontology.org/R-HSA-427413,44
http://model.geneontology.org/R-HSA-9762114,44
http://model.geneontology.org/R-HSA-6783310,44
http://model.geneontology.org/R-HSA-8876198,43
http://model.geneontology.org/R-HSA-9033241,41
http://model.geneontology.org/R-HSA-3299685,41
http://model.geneontology.org/R-HSA-5689880,40
http://model.geneontology.org/R-HSA-3371453,39
http://model.geneontology.org/R-HSA-499943,37
http://model.geneontology.org/R-HSA-5389840,36
http://model.geneontology.org/R-HSA-71403,36
http://model.geneontology.org/R-HSA-1169408,35
http://model.geneontology.org/R-HSA-5368286,35
http://model.geneontology.org/R-HSA-1660662,34
http://model.geneontology.org/R-HSA-379716,33
http://model.geneontology.org/R-HSA-4086398,33
http://model.geneontology.org/R-HSA-1222556,32
http://model.geneontology.org/R-HSA-204005,31
http://model.geneontology.org/R-HSA-6804756,31
http://model.geneontology.org/R-HSA-170822,31
http://model.geneontology.org/R-HSA-5578749,31
http://model.geneontology.org/R-HSA-427389,30
http://model.geneontology.org/R-HSA-83936,30
http://model.geneontology.org/R-HSA-2559582,30
http://model.geneontology.org/R-HSA-1632852,30
http://model.geneontology.org/R-HSA-73772,29
http://model.geneontology.org/R-HSA-9707564,29
http://model.geneontology.org/R-HSA-73863,29
http://model.geneontology.org/R-HSA-8983432,29
http://model.geneontology.org/R-HSA-1660661,28
http://model.geneontology.org/R-HSA-2029482,28
http://model.geneontology.org/R-HSA-6807505,28
http://model.geneontology.org/R-HSA-6781823,28
http://model.geneontology.org/R-HSA-5668599,28
http://model.geneontology.org/R-HSA-70263,28
http://model.geneontology.org/R-HSA-5218921,27
http://model.geneontology.org/R-HSA-2871809,26
http://model.geneontology.org/R-HSA-442660,26
http://model.geneontology.org/R-HSA-264642,26
http://model.geneontology.org/R-HSA-888590,26
http://model.geneontology.org/R-HSA-983695,26
http://model.geneontology.org/R-HSA-6804757,25
http://model.geneontology.org/R-HSA-1963642,24
http://model.geneontology.org/R-HSA-210500,24
http://model.geneontology.org/R-HSA-1268020,23
http://model.geneontology.org/R-HSA-5656169,23
http://model.geneontology.org/R-HSA-5693607,23
http://model.geneontology.org/R-HSA-1483166,23
http://model.geneontology.org/R-HSA-114604,23
http://model.geneontology.org/R-HSA-5607763,22
http://model.geneontology.org/R-HSA-422356,22
http://model.geneontology.org/R-HSA-5654720,22
http://model.geneontology.org/R-HSA-438066,22
http://model.geneontology.org/R-HSA-191273,22
http://model.geneontology.org/R-HSA-2029485,22
http://model.geneontology.org/R-HSA-5627123,21
http://model.geneontology.org/R-HSA-5696395,21
http://model.geneontology.org/R-HSA-6811440,21
http://model.geneontology.org/R-HSA-1660499,21
http://model.geneontology.org/R-HSA-9020933,21
http://model.geneontology.org/R-HSA-70895,21
http://model.geneontology.org/R-HSA-1483191,21
http://model.geneontology.org/R-HSA-2559580,21
http://model.geneontology.org/R-HSA-181430,20
http://model.geneontology.org/R-HSA-5218920,20
http://model.geneontology.org/R-HSA-917937,20
http://model.geneontology.org/R-HSA-5654712,20
http://model.geneontology.org/R-HSA-193368,20
