gocam,sizes
http://model.geneontology.org/R-HSA-983168,306
http://model.geneontology.org/R-HSA-416482,294
http://model.geneontology.org/R-HSA-418597,255
http://model.geneontology.org/R-HSA-418594,254
http://model.geneontology.org/R-HSA-202424,202
http://model.geneontology.org/R-HSA-983695,171
http://model.geneontology.org/R-HSA-1660499,153
http://model.geneontology.org/R-HSA-5673000,152
http://model.geneontology.org/R-HSA-5673001,149
http://model.geneontology.org/R-HSA-418555,145
http://model.geneontology.org/R-HSA-5218920,136
http://model.geneontology.org/R-HSA-114604,134
http://model.geneontology.org/R-HSA-2029482,134
http://model.geneontology.org/R-HSA-389357,132
http://model.geneontology.org/R-HSA-977606,129
http://model.geneontology.org/R-HSA-1257604,129
http://model.geneontology.org/R-HSA-6811558,122
http://model.geneontology.org/R-HSA-5654700,110
http://model.geneontology.org/R-HSA-2500257,107
http://model.geneontology.org/R-HSA-174178,105
http://model.geneontology.org/R-HSA-199418,105
http://model.geneontology.org/R-HSA-166663,103
http://model.geneontology.org/R-HSA-9013149,102
http://model.geneontology.org/R-HSA-2029481,102
http://model.geneontology.org/R-HSA-2730905,98
http://model.geneontology.org/R-HSA-5654693,98
http://model.geneontology.org/R-HSA-4086398,97
http://model.geneontology.org/R-HSA-8939902,96
http://model.geneontology.org/R-HSA-611105,95
http://model.geneontology.org/R-HSA-156842,94
http://model.geneontology.org/R-HSA-5632684,92
http://model.geneontology.org/R-HSA-9013148,92
http://model.geneontology.org/R-HSA-8854691,91
http://model.geneontology.org/R-HSA-204005,91
http://model.geneontology.org/R-HSA-5689880,90
http://model.geneontology.org/R-HSA-8980692,89
http://model.geneontology.org/R-HSA-163210,89
http://model.geneontology.org/R-HSA-156902,88
http://model.geneontology.org/R-HSA-202433,82
http://model.geneontology.org/R-HSA-4420097,81
http://model.geneontology.org/R-HSA-5654712,81
http://model.geneontology.org/R-HSA-5654706,80
http://model.geneontology.org/R-HSA-5693565,80
http://model.geneontology.org/R-HSA-5218921,80
http://model.geneontology.org/R-HSA-5687128,78
http://model.geneontology.org/R-HSA-2871809,77
http://model.geneontology.org/R-HSA-8876198,77
http://model.geneontology.org/R-HSA-174084,76
http://model.geneontology.org/R-HSA-167827,74
http://model.geneontology.org/R-HSA-167826,74
http://model.geneontology.org/R-HSA-9020702,73
http://model.geneontology.org/R-HSA-5654695,72
http://model.geneontology.org/R-HSA-5654720,71
http://model.geneontology.org/R-HSA-1650814,71
http://model.geneontology.org/R-HSA-2029485,71
http://model.geneontology.org/R-HSA-5627117,71
http://model.geneontology.org/R-HSA-422356,69
http://model.geneontology.org/R-HSA-69017,68
http://model.geneontology.org/R-HSA-5607763,68
http://model.geneontology.org/R-HSA-1250196,67
http://model.geneontology.org/R-HSA-5654710,67
http://model.geneontology.org/R-HSA-5654699,67
http://model.geneontology.org/R-HSA-8951664,66
http://model.geneontology.org/R-HSA-382556,66
http://model.geneontology.org/R-HSA-8948751,64
http://model.geneontology.org/R-HSA-2467813,64
http://model.geneontology.org/R-HSA-5654689,63
http://model.geneontology.org/R-HSA-5658442,63
http://model.geneontology.org/R-HSA-1489509,63
http://model.geneontology.org/R-HSA-195253,62
http://model.geneontology.org/R-HSA-69656,62
http://model.geneontology.org/R-HSA-174184,62
http://model.geneontology.org/R-HSA-174154,62
http://model.geneontology.org/R-HSA-69202,61
http://model.geneontology.org/R-HSA-5654688,61
http://model.geneontology.org/R-HSA-416572,61
http://model.geneontology.org/R-HSA-6784531,60
http://model.geneontology.org/R-HSA-5628897,60
http://model.geneontology.org/R-HSA-68867,60
http://model.geneontology.org/R-HSA-9033241,59
http://model.geneontology.org/R-HSA-2871837,59
http://model.geneontology.org/R-HSA-5607764,59
http://model.geneontology.org/R-HSA-9755511,58
http://model.geneontology.org/R-HSA-1169091,58
http://model.geneontology.org/R-HSA-112043,57
http://model.geneontology.org/R-HSA-72086,57
http://model.geneontology.org/R-HSA-1963642,56
http://model.geneontology.org/R-HSA-5610787,55
http://model.geneontology.org/R-HSA-3371453,55
http://model.geneontology.org/R-HSA-176408,54
http://model.geneontology.org/R-HSA-5674135,54
http://model.geneontology.org/R-HSA-5610783,54
http://model.geneontology.org/R-HSA-983170,54
http://model.geneontology.org/R-HSA-1592389,54
http://model.geneontology.org/R-HSA-5610785,54
http://model.geneontology.org/R-HSA-1483166,53
http://model.geneontology.org/R-HSA-8854050,53
http://model.geneontology.org/R-HSA-193648,53
http://model.geneontology.org/R-HSA-5610780,53
http://model.geneontology.org/R-HSA-5358346,52
http://model.geneontology.org/R-HSA-1632852,52
http://model.geneontology.org/R-HSA-1236974,52
http://model.geneontology.org/R-HSA-5676590,52
http://model.geneontology.org/R-HSA-68949,52
http://model.geneontology.org/R-HSA-9604323,51
http://model.geneontology.org/R-HSA-9010553,51
http://model.geneontology.org/R-HSA-174113,51
http://model.geneontology.org/R-HSA-1234176,51
http://model.geneontology.org/R-HSA-187577,51
http://model.geneontology.org/R-HSA-5607761,51
http://model.geneontology.org/R-HSA-5654704,51
http://model.geneontology.org/R-HSA-8852276,50
http://model.geneontology.org/R-HSA-3299685,50
http://model.geneontology.org/R-HSA-69601,50
http://model.geneontology.org/R-HSA-5654719,50
http://model.geneontology.org/R-HSA-5668541,49
http://model.geneontology.org/R-HSA-6783310,49
http://model.geneontology.org/R-HSA-8939236,49
