?gocam	?title	?gp_labels	?gptypes	?taxons	?taxon_labels	?modelstate
<http://model.geneontology.org/61e0e55600000239>	"Epidermal growth factor receptor signaling pathway 10 (Mouse) "^^<http://www.w3.org/2001/XMLSchema#string>	Tgfa,Gab1,Egfr,Grb2,Ptpn11	http://identifiers.org/mgi/MGI:98724,http://identifiers.org/mgi/MGI:108088,http://identifiers.org/mgi/MGI:95294,http://identifiers.org/mgi/MGI:95805,http://identifiers.org/mgi/MGI:99511	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/61e0e55600001225>	"Gluconeogenesis 1 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Pck1,Slc25a10,Pgk1,Gapdh,Mdh1,Aldoc,Mdh2,Pcx,Eno1,G6pc,Gpi1,Pgam1,Tpi1,Fbp1,Slc37a4	http://identifiers.org/mgi/MGI:97501,http://identifiers.org/mgi/MGI:1353497,http://identifiers.org/mgi/MGI:97555,http://identifiers.org/mgi/MGI:95640,http://identifiers.org/mgi/MGI:97051,http://identifiers.org/mgi/MGI:101863,http://identifiers.org/mgi/MGI:97050,http://identifiers.org/mgi/MGI:97520,http://identifiers.org/mgi/MGI:95393,http://identifiers.org/mgi/MGI:95607,http://identifiers.org/mgi/MGI:95797,http://identifiers.org/mgi/MGI:97552,http://identifiers.org/mgi/MGI:98797,http://identifiers.org/mgi/MGI:95492,http://identifiers.org/mgi/MGI:1316650	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/622aace900000962>	"Pentose-phosphate shunt 1 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	G6pd2,Rpia,G6pdx,Pgd,Pgls,Rpe,Tkt,Taldo1	http://identifiers.org/mgi/MGI:105977,http://identifiers.org/mgi/MGI:103254,http://identifiers.org/mgi/MGI:105979,http://identifiers.org/mgi/MGI:97553,http://identifiers.org/mgi/MGI:1913421,http://identifiers.org/mgi/MGI:1913896,http://identifiers.org/mgi/MGI:105992,http://identifiers.org/mgi/MGI:1274789	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/613aae0000000500>	"cobalamin metabolic process 3, methylation of cobalamin (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Mtr,Mtrr,Mmachc,Mmadhc	http://identifiers.org/mgi/MGI:894292,http://identifiers.org/mgi/MGI:1891037,http://identifiers.org/mgi/MGI:1914346,http://identifiers.org/mgi/MGI:1923786	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/627d95ee00000955>	"Chondroitin sulfate catabolic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Gusb,Hyal4,Hyal3,Hexb,Hyal1,Arsb,Galns	http://identifiers.org/mgi/MGI:95872,http://identifiers.org/mgi/MGI:1924292,http://identifiers.org/mgi/MGI:1330288,http://identifiers.org/mgi/MGI:96074,http://identifiers.org/mgi/MGI:96298,http://identifiers.org/mgi/MGI:88075,http://identifiers.org/mgi/MGI:1355303	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/627d95ee00001794>	"Oligosaccharide catabolic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Man2b1,Manba,Man2b2,Man2c1	http://identifiers.org/mgi/MGI:107286,http://identifiers.org/mgi/MGI:88175,http://identifiers.org/mgi/MGI:1195262,http://identifiers.org/mgi/MGI:1920994	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/627d95ee00000275>	"Heparan sulfate proteoglycan catabolic process (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Hpse,Glb1,Gusb,Naglu,Idua,Hgsnat,Sgsh,Ctsl,Ids,Sdc1	http://identifiers.org/mgi/MGI:1343124,http://identifiers.org/mgi/MGI:88151,http://identifiers.org/mgi/MGI:95872,http://identifiers.org/mgi/MGI:1351641,http://identifiers.org/mgi/MGI:96418,http://identifiers.org/mgi/MGI:1196297,http://identifiers.org/mgi/MGI:1350341,http://identifiers.org/mgi/MGI:88564,http://identifiers.org/mgi/MGI:96417,http://identifiers.org/mgi/MGI:1349162	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/623d156d00000939>	"Glycogen catabolic process 3 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Pygm,Pgm1,Agl,Pgm2,Phkg1	http://identifiers.org/mgi/MGI:97830,http://identifiers.org/mgi/MGI:97565,http://identifiers.org/mgi/MGI:1924809,http://identifiers.org/mgi/MGI:97564,http://identifiers.org/mgi/MGI:97579	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/623d156d00000752>	"Glycogen catabolic process 2 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Phkg1,Pgm1,Pygb,Agl,Pgm2	http://identifiers.org/mgi/MGI:97579,http://identifiers.org/mgi/MGI:97565,http://identifiers.org/mgi/MGI:97828,http://identifiers.org/mgi/MGI:1924809,http://identifiers.org/mgi/MGI:97564	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
<http://model.geneontology.org/6197061700003523>	"ERBB2-ERBB3 signaling pathway 1 (Mouse)"^^<http://www.w3.org/2001/XMLSchema#string>	Erbb2,Erbb3,Nrg1	http://identifiers.org/mgi/MGI:95410,http://identifiers.org/mgi/MGI:95411,http://identifiers.org/mgi/MGI:96083	http://purl.obolibrary.org/obo/NCBITaxon_10090	Mus musculus	"production"^^<http://www.w3.org/2001/XMLSchema#string>
