,identifier
0,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-975294
1,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-420698
2,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-975294
3,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-420698
4,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086
5,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679
6,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2089937
7,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111856
8,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-114602
9,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-139839
10,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696
11,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426
12,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861
13,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864
14,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-398037
15,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-400011
16,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-434679
17,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313
18,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74693
19,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-377592
20,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-195382
21,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5218758
22,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5218716
23,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5218754
24,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-61459
25,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086
26,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679
27,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2089937
28,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111856
29,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-114602
30,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-139839
31,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696
32,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426
33,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861
34,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864
35,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-398037
36,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-400011
37,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-434679
38,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313
39,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2025947
40,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2685653
41,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1861712
42,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2685603
43,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2685652
44,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086
45,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679
46,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111856
47,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-114602
48,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696
49,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426
50,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861
51,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864
52,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-398037
53,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-400011
54,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313
55,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74693
56,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1861712
57,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-198276
58,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-201596
59,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2029101
60,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2029102
61,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679
62,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426
63,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861
64,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864
65,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313
66,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1806157
67,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1806229
68,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199420
69,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1604601
70,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023867
71,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023888
72,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-3769048
73,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086
74,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169483
75,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679
76,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426
77,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861
78,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864
79,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313
80,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1604601
81,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023888
82,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-3769048
83,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1604578
84,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1604650
85,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1806281
86,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2024024
87,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2024026
88,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2024044
89,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2024052
90,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5678326
91,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-6809241
92,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679
93,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426
94,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861
95,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864
96,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313
97,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1604601
98,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023867
99,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086
100,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679
101,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111856
102,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-114602
103,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696
104,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426
105,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861
106,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864
107,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-398037
108,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-400011
109,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313
110,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74693
111,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-198276
112,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086
113,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696
114,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-434679
115,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9012677
116,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-156467
117,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-68819
118,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-727820
119,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086
120,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679
121,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1045152
122,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2089937
123,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-984807
124,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-9606165
