?gocam	?title	?controllers	?taxons	?taxon_labels	?modelstate
<http://model.geneontology.org/R-HSA-997272>	Inhibition of voltage gated Ca2+ channels via Gbeta/gamma subunits - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-975294,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-420698	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-1296041>	Activation of G protein gated Potassium channels - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-975294,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-420698	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-5218921>	VEGFR2 mediated cell proliferation - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2089937,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111856,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-114602,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-139839,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-398037,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-400011,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-434679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74693,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-377592,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-195382,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5218758,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5218716,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5218754,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-61459	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-2871809>	FCERI mediated Ca+2 mobilization - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2089937,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111856,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-114602,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-139839,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-398037,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-400011,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-434679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2025947,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2685653,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1861712,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2685603,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2685652	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-2029485>	Role of phospholipids in phagocytosis - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111856,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-114602,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-398037,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-400011,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74693,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1861712,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-198276,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-201596,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2029101,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2029102	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-1855204>	Synthesis of IP3 and IP4 in the cytosol - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1806157,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1806229,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199420,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1604601,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023867,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023888,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-3769048	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-1169092>	Activation of RAS in B cells - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169483	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-1855183>	Synthesis of IP2, IP, and Ins in the cytosol - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1604601,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023888,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-3769048,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1604578,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1604650,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1806281,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2024024,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2024026,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2024044,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2024052,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-5678326,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-6809241	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-1855196>	IP3 and IP4 transport between cytosol and nucleus - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1604601,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023867	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
<http://model.geneontology.org/R-HSA-1489509>	DAG and IP3 signaling - imported from: Reactome	http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-1169086,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-167679,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-111856,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-114602,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-169696,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-199426,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023861,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-2023864,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-398037,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-400011,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-8870313,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-74693,http://purl.obolibrary.org/obo/go/extensions/reacto.owl#REACTO_R-HSA-198276	http://purl.obolibrary.org/obo/NCBITaxon_9606	Homo sapiens	development
