gocam,0
http://model.geneontology.org/627d95ee00000024,IL12-mediated signaling pathway (Human)
http://model.geneontology.org/627d95ee00000024,IL12-mediated signaling pathway (Human)
http://model.geneontology.org/627d95ee00000024,IL12-mediated signaling pathway (Human)
http://model.geneontology.org/627d95ee00000024,IL12-mediated signaling pathway (Human)
http://model.geneontology.org/627d95ee00000024,IL12-mediated signaling pathway (Human)
http://model.geneontology.org/627d95ee00000024,IL12-mediated signaling pathway (Human)
http://model.geneontology.org/627d95ee00000024,IL12-mediated signaling pathway (Human)
http://model.geneontology.org/626b20c100001212,IL11-mediated signaling pathway (Human)
http://model.geneontology.org/626b20c100001212,IL11-mediated signaling pathway (Human)
http://model.geneontology.org/626b20c100001212,IL11-mediated signaling pathway (Human)
http://model.geneontology.org/626b20c100001212,IL11-mediated signaling pathway (Human)
http://model.geneontology.org/626b20c100001212,IL11-mediated signaling pathway (Human)
http://model.geneontology.org/626b20c100000025,IL9-mediated signaling pathway (Human)
http://model.geneontology.org/626b20c100000025,IL9-mediated signaling pathway (Human)
http://model.geneontology.org/626b20c100000025,IL9-mediated signaling pathway (Human)
http://model.geneontology.org/626b20c100000025,IL9-mediated signaling pathway (Human)
http://model.geneontology.org/626b20c100000025,IL9-mediated signaling pathway (Human)
http://model.geneontology.org/626b20c100000025,IL9-mediated signaling pathway (Human)
http://model.geneontology.org/626b20c100000025,IL9-mediated signaling pathway (Human)
http://model.geneontology.org/626b20c100000025,IL9-mediated signaling pathway (Human)
http://model.geneontology.org/62900b6400001385,Lysosome biogenesis by TFEB and regulation of cytoplasmic retention via phosphorylation by MTOR or alkylation (Human)
http://model.geneontology.org/62900b6400001385,Lysosome biogenesis by TFEB and regulation of cytoplasmic retention via phosphorylation by MTOR or alkylation (Human)
http://model.geneontology.org/62900b6400001385,Lysosome biogenesis by TFEB and regulation of cytoplasmic retention via phosphorylation by MTOR or alkylation (Human)
http://model.geneontology.org/62900b6400001385,Lysosome biogenesis by TFEB and regulation of cytoplasmic retention via phosphorylation by MTOR or alkylation (Human)
http://model.geneontology.org/627d95ee00002067,Regulation of PARP2 activity by PARP1 and recruitment of APLF to DNA damage sites (Human)
http://model.geneontology.org/627d95ee00002067,Regulation of PARP2 activity by PARP1 and recruitment of APLF to DNA damage sites (Human)
http://model.geneontology.org/627d95ee00002067,Regulation of PARP2 activity by PARP1 and recruitment of APLF to DNA damage sites (Human)
http://model.geneontology.org/627d95ee00002067,Regulation of PARP2 activity by PARP1 and recruitment of APLF to DNA damage sites (Human)
http://model.geneontology.org/627d95ee00001139,Extraction of PARP1 trapped to chromatin by VCP/p97 following sumoylation  by PIAS4 and ubiquitination by RNF4 (Human)
http://model.geneontology.org/627d95ee00001139,Extraction of PARP1 trapped to chromatin by VCP/p97 following sumoylation  by PIAS4 and ubiquitination by RNF4 (Human)
http://model.geneontology.org/627d95ee00001139,Extraction of PARP1 trapped to chromatin by VCP/p97 following sumoylation  by PIAS4 and ubiquitination by RNF4 (Human)
http://model.geneontology.org/627d95ee00001139,Extraction of PARP1 trapped to chromatin by VCP/p97 following sumoylation  by PIAS4 and ubiquitination by RNF4 (Human)
http://model.geneontology.org/627d95ee00002030,Activation of PARP2 activity by HPF1 during DNA repair (Human)
http://model.geneontology.org/627d95ee00002030,Activation of PARP2 activity by HPF1 during DNA repair (Human)
http://model.geneontology.org/62b4ffe300000418,Poxvirus-CRMA inhibition of cGAS-STING signaling (Human-Poxvirus) 
http://model.geneontology.org/62b4ffe300000418,Poxvirus-CRMA inhibition of cGAS-STING signaling (Human-Poxvirus) 
