# SimpleMine Results Based on Alliance of Genome Resources
# Alliance Database Version: 5.0.0
# Date file generated (UTC): 2022-01-11 23:00
Your Input	Gene ID	Gene Symbol	Gene Name	Species	NCBI ID	ENSEMBL ID	UniProtKB ID	PANTHER ID	Synonym	Mouse Ortholog
HGNC:100	HGNC:100	ASIC1	acid sensing ion channel subunit 1	Homo sapiens	41	ENSG00000110881	P78348 | A8K1U5 | H0YHD6 | H7C1W9 | F8VSK4	PTHR11690	ASIC | BNaC2 | ACCN2 | acid sensing ion channel 1 | Cation channel, amiloride-sensitive, neuronal, 2 | acid sensing (proton gated) ion channel 1 | acid-sensing (proton-gated) ion channel 1 | ASIC1A | amiloride-sensitive cation channel 2, neuronal | acid-sensing ion channel 1a protein | ACCN2 variant 3 | hBNaC2 | acid-sensing ion channel 1 | brain sodium channel 2	MGI:1194915:Asic1
HGNC:10000	HGNC:10000	RGS4	regulator of G protein signaling 4	Homo sapiens	5999	ENSG00000117152	P49798 | A0A024R909 | E9PS05 | E9PR32	PTHR10845	RGP4 | MGC60244 | DKFZp761F1924 | regulator of G-protein signaling 4 | regulator of G-protein signalling 4 | SCZD9 | MGC2124 | schizophrenia disorder 9	MGI:108409:Rgs4
HGNC:10001	HGNC:10001	RGS5	regulator of G protein signaling 5	Homo sapiens	8490	ENSG00000232995	B1APM2 | A0A024R8X9 | O15539 | E9PS96	PTHR10845	MSTP032 | MSTP092 | MST106 | MSTP106 | MST129 | MST092 | regulator of G-protein signaling 5 | MSTP129 | regulator of G-protein signalling 5 | RP11-267N12.3	MGI:1098434:Rgs5
HGNC:10002	HGNC:10002	RGS6	regulator of G protein signaling 6	Homo sapiens	9628	ENSG00000182732	A0A0A0MRA9 | B7Z7N5 | Q2M3K2 | B7Z2A0 | B7Z2N1 | P49758 | A0A2R8Y8A2 | A0A087WTW9	N.A.	DKFZp313G1241 | G protein signaling 6 regulator | regulator of G-protein signalling 6 | WUGSC:H_DJ0283M22.1 | H_DJ1108A12.1 | regulator of G-protein signaling 6 | S914 | HA117 | WUGSC:H_DJ1108A12.1 | GTPase activating protein | H_DJ0283M22.1 | regulator of G protein signalling 6 | MGC142132 | GAP | FLJ43552	MGI:1354730:Rgs6
HGNC:10003	HGNC:10003	RGS7	regulator of G protein signaling 7	Homo sapiens	6000	ENSG00000182901	B7Z257 | Q45FD9 | Q45FE0 | B7Z223 | P49802 | Q5T3H5	N.A.	regulator of G-protein signaling RGS7 | regulator of G-protein signalling 7 | regulator of G-protein signaling 7	MGI:1346089:Rgs7
HGNC:10004	HGNC:10004	RGS9	regulator of G protein signaling 9	Homo sapiens	8787	ENSG00000108370	O75916 | Q4G1B2 | Q4QRI4 | E9PD91 | J3QL70 | A8K1G1 | A0A1B0GVU3	N.A.	regulator of G-protein signaling 9 | regulator of G-protein signalling 9 | RGS9L | MGC26458 | PERRS | MGC111763	MGI:1338824:Rgs9
HGNC:10006	HGNC:10006	RHAG	Rh associated glycoprotein	Homo sapiens	6005	ENSG00000112077	Q9UHG9 | Q02094 | A0A023UN48 | A0A0A1TSG9 | A0A0A8IKZ2 | A0A1A9C9I6 | A0A1D8RAA9 | A0A1Q1NHH4 | A0A248X8V9 | A0A3G2FPG1 | A0A411HBG8 | M1SZX7 | M5FJR4 | Q9UBB8 | Q9UK69 | X5MNR9 | A0A2R8YEH1 | Q96E98 | A0A0A0MQS8 | A0A087WZZ4	N.A.	Rh50 | RHNR | ammonium transporter Rh type A | CD241 | OHS | rhesus blood group-associated a glycoprotein | Rhesus blood group-associated glycoprotein | Rh-associated glycoprotein | mutant Rh associated glycoprotein | truncated RhAG glycoprotein | erythrocyte membrane glycoprotein Rh50 | OHST | Rh 50 glycoprotein | rh family type A glycoprotein | SLC42A1 | RH2 | Rh50GP | rhesus blood group family type A glycoprotein | erythrocyte plasma membrane 50 kDa glycoprotein | rhesus blood group-associated ammonia channel | truncated Rh-associated glycoprotein | rh type A glycoprotein | RH50A | Rhesus associated polypeptide, 50-KD	MGI:1202713:Rhag
HGNC:10007	HGNC:10007	RHBDL1	rhomboid like 1	Homo sapiens	9028	ENSG00000103269	B4DFK3 | O75783 | H3BQ51	N.A.	rhomboid, veinlet-like 1 (Drosophila) | rhomboid-like protein 1 | rhomboid, veinlet-like 1 | RRP | RHBDL | rhomboid, drosophila, homolog of | rhomboid-related protein 1	MGI:2384891:Rhbdl1
HGNC:10008	HGNC:10008	RHCE	Rh blood group CcEe antigens	Homo sapiens	6006	ENSG00000188672	P18577 | E9PKB3 | Q5VSJ7 | Q5VSJ8 | E7EU00 | H0YCJ8 | E7EQ47 | F6XSS0 | A0A220QMN8 | A0A024RAE0 | A0A078BQE0 | A0A078N0E5 | A0A089VLV6 | A0A0A1TJL4 | A0A0A1TSH2 | A0A0A1TST6 | A0A0A8WG26 | A0A0B5J448 | A0A0B5J454 | A0A0B5J8H8 | A0A0B5JDI7 | A0A0B5JDJ1 | A0A0B5JG23 | A0A0B5JG27 | A0A0B5JJ59 | A0A0B5JJ63 | A0A0C5D5W6 | A0A0D3QSK8 | A0A0D4CYF4 | A0A0D4CYF7 | A0A0D4CYJ1 | A0A0D4CZ13 | A0A0D4CZD8 | A0A0F6SIH4 | A0A0K0QTI0 | A0A0M3TH49 | A0A165EL66 | A0A168DYW6 | A0A172WCC1 | A0A193DUE3 | A0A193L2X7 | A0A193L2Z1 | A0A1A9C7S9 | A0A1A9C8V1 | A0A1A9C8V4 | A0A1B1R109 | A0A1B3B500 | A0A1C9UZX1 | A0A1J0MS72 | A0A1J0MS73 | A0A1J0MS77 | A0A1J0MS79 | A0A1J0MS89 | A0A1J0MS92 | A0A1J0MSA1 | A0A1L3H050 | A0A1L3H051 | A0A1L3H052 | A0A1L3H053 | A0A1L3H054 | A0A1L3H055 | A0A1L3H056 | A0A1L3H057 | A0A1L3H058 | A0A1L3H059 | A0A1L3H063 | A0A1L3H064 | A0A1L3H069 | A0A1L3H070 | A0A1L3H075 | A0A1L3H076 | A0A1L3HDU9 | A0A1L3HDV9 | A0A1L3HDW5 | A0A1L3HDW7 | A0A1L3HDW8 | A0A1L3HDX5 | A0A1L3HDY3 | A0A1L3HDY4 | A0A1L3HDY7 | A0A1L3HDY8 | A0A1P8P1S9 | A0A1P8P1T4 | A0A1P8P1T6 | A0A1S6GMZ6 | A0A1S6GN05 | A0A1S6GN06 | A0A1S6GNA3 | A0A1S6GNA7 | A0A1S6GNA8 | A0A1S6GNB3 | A0A1S6GNB6 | A0A1S6GNB8 | A0A1S6GND7 | A0A1S6GNE8 | A0A1U9WYQ7 | A0A1U9WYT1 | A0A1Z1VMX2 | A0A1Z1VNI8 | A0A1Z2THK2 | A0A220QMM7 | A0A221C5U0 | A0A290WK19 | A0A290WK21 | A0A290WK23 | A0A2D1LVN6 | A0A2D3HXS0 | A0A345IT86 | A0A346FYP8 | A0A346RV52 | A0A3B1DJF4 | A0A3B1E1J6 | A0A3B1E7J7 | A0A3G2LNM6 | A0A3S5XGB6 | A0A4P8PLN1 | A0PFK1 | A0ZXY7 | A4VAS3 | A8YPG3 | B3CL46 | B3CL47 | B3CL48 | B6ZCF5 | B6ZCF7 | B6ZCF8 | B6ZCG0 | B6ZCG1 | D0AB03 | D0AB04 | D4P3E5 | D5L848 | E1Y3Y3 | E1Y3Y4 | E1Y3Y5 | G0TQY4 | G0TQY5 | G1AUC3 | I7ITT0 | I7L128 | J9ZZ22 | J9ZZ26 | J9ZZ28 | J9ZZ64 | J9ZZ69 | J9ZZE7 | J9ZZF1 | K0A0Q6 | K0A0R1 | K0A0R6 | K0A0T3 | K0A0T9 | K9JHF5 | K9JHF7 | K9JI17 | K9JIR2 | O43811 | P78522 | Q0E5G3 | Q0E5G4 | Q0E5G5 | Q0E5G6 | Q0E5G7 | Q0E5G8 | Q0E5G9 | Q0E5H0 | Q0E5H1 | Q0KHB9 | Q1EL80 | Q2A683 | Q2A684 | Q2A685 | Q2MCP1 | Q2MCP2 | Q3ZV40 | Q5DVP9 | Q5DVQ0 | Q5NDM3 | Q5NDM4 | Q5NDM5 | Q5NDM6 | Q9UMH9 | Q9UP89 | Q9UP90 | Q9UP91 | S6FLM9 | T2LL58 | V6EVT1 | A0A5B8IM05	N.A.	truncated RhCcEe antigen | Rhesus blood group CE protein | Rh blood group Rhce antigen | Rhesus blood group CE antigen | blood group Rh(CE) polypeptide | RHNA | blood group RhCE polypeptide | RhVI | rhesus C/E antigens | RHIXB | Rh blood group C antigen | Rh blood group CE antigen | Rhesus blood group CcEe antigen | RH | (C)ces type 1 Rhesus blood group D antigen | blood group protein RHCE | Rh blood group CcEe antigen | Rh polypeptide I | MGC103977 | Rhesus blood group antigen CE | RHCe(152N) | Rhesus blood group E antigen | RhCE blood group antigens | RHE | truncated RHCE | RH30A | Rhesus system C and E polypeptides | CD240CE | Rh blood group D antigen | RhIVb(J) | RHC | truncated RhD antigen | Rh blood group, CcEe antigens | rh polypeptide 1 | Rh4 | rhesus blood group antigen, RhC antigen | RHPI | rhesus blood group little e antigen | blood group RhCcEe antigen | silenced Rh blood group CcEe antigen | Rh blood group antigen Evans | Rhesus blood group Rhce antigen | RHCE blood group variant Crawford antigen Rh43 | RhVIII	MGI:1202882:Rhd
HGNC:10009	HGNC:10009	RHD	Rh blood group D antigen	Homo sapiens	6007	ENSG00000187010	Q02161 | B4DLT8 | Q5XLS8 | Q5XLT0 | Q9UPC8 | E7EVW1 | Q1KT12 | Q5XLT3 | Q7RU08 | H3BT10 | A0A3B3IU43 | A0A5P8H4X5 | A0A221C5T5 | A0A221C5V8 | A0A221C649 | A0A221J652 | A0A221LEJ2 | A0A221LEJ3 | A0A221LEJ4 | A0A221LEK2 | A0A290WK22 | A0A290YV47 | A0A290YV79 | A0A2D1LVN8 | A0A2D1LVQ3 | A0A2D1LVQ6 | A0A2K9YW35 | A0A2L0A445 | A0A2P1EPT5 | A0A2P1EPT7 | A0A2P1EPV2 | A0A2P1EPV4 | A0A2P1EPV6 | A0A2P1M8C3 | A0A2S0DVE8 | A0A2S1B5H4 | A0A330PKA5 | A0A330PLB4 | A0A346LVX3 | A0A385I4J5 | A0A386IQC0 | A0A386IQC5 | A0A386QWJ7 | A0A3B0MQP0 | A0A3B8E304 | A0A3G2LNN1 | A0A3G2LNR6 | A0A3G2SV85 | A0A3P3YW51 | A0A3Q8BT41 | A0A3S6CTX0 | A0A411PBS5 | A0A481S6S2 | A0A481S7G5 | A0A482ICT8 | A0A484HK63 | A0A4D6C5N2 | A0A4D6C5S1 | A0A4D6C6K0 | A0A4D6C768 | A0A4D6C7J7 | A0A4D6U7V5 | A0A4P8VSN6 | A0A4P8VTG8 | A0A4P8VUA8 | A0A4P8VUA9 | A0A4P8VUI6 | A0A4P8VVB1 | A0A4V1FUG5 | A0FIL3 | A4VAS2 | A5PHJ8 | A6PZ59 | A6PZ60 | A6PZ61 | A7DW67 | A7J389 | A7Y8S3 | A8YPG4 | A8YPS3 | A8YPS4 | A9JPG7 | A9P3S3 | A9P3T0 | A9P3T1 | A9P3T2 | A9P3T3 | A9P3T5 | A9P3T6 | A9P3T7 | A9P3T8 | A9P3U0 | B0B3T3 | B0B3T4 | B0JE64 | B0JEG1 | B1PWD9 | B2BHH4 | B2L5V2 | B2ZGP8 | B2ZGP9 | B2ZGQ0 | B4F4R6 | B4F4R9 | B4F4S0 | B4F4S1 | B4F4S2 | B4F4S3 | B4F4S4 | B4F4S5 | B4F4S6 | B4F4S7 | B4F4S8 | B5KN93 | B5MEI6 | B5RHP0 | B6ETL3 | B6ETL4 | B6ETP8 | B6ETQ6 | B6ETQ7 | B8Q0B6 | B8Q0B7 | B8Q0B8 | D0AB01 | D0AB02 | D1H0P2 | D1H102 | D2CRG8 | D2CRH0 | D2CRH1 | D2CYW7 | D2CYW8 | D2CYW9 | D6Q1S7 | D7GNB0 | D7GNB2 | D8MJ84 | D8MJ86 | D8MJ87 | E1Y6M6 | E5BCZ9 | E7BAS3 | E7BAS4 | E7BAS5 | E7BAS6 | F2RM72 | G0TQY3 | G1AUC2 | G4XIC4 | G4XIC5 | G4XIC6 | G4XIC7 | G4XIC8 | G4XIC9 | G4XID0 | G4XID1 | G4XMV9 | G8FL61 | G8YY11 | G8YY12 | G8YY13 | G8YY14 | H2DQF5 | H2DQF6 | H2ETA0 | H6SH95 | H8WR07 | H8WR09 | H8WR10 | H8WR11 | H8WR12 | I0CKF7 | I0CKF8 | I0CKG0 | I0CKG2 | I0CKG3 | I0CKG4 | I0CKG6 | I0CKG7 | I2HA00 | I2HA01 | I3W8M7 | I6UL51 | I7JB64 | I7JSY2 | I7KDN9 | I7L571 | I7LL22 | I7LNF1 | I7LP06 | J7GUD8 | J7GY11 | J7H0H3 | J7IF04 | J7IJ78 | J7ILZ7 | J7JLB9 | K4MWK1 | K4RNB6 | K4RNV5 | K4RNY0 | K4UI15 | K4UNQ7 | K4UQ06 | K4UQ76 | K8ES76 | K8ESS1 | K8FE51 | L0RH38 | L0RH60 | L7SYG8 | L8EB13 | M4Q981 | M4X2U0 | M5FHF1 | O75102 | O75103 | O75104 | O75835 | O75836 | O95489 | Q05GI4 | Q08GE1 | Q0KG01 | Q1KT13 | Q2A0N8 | Q2P9N2 | Q2PBC1 | Q2UVE8 | Q2UVE9 | Q2YHU7 | Q2YHU8 | Q2YHU9 | Q2YHV0 | Q333A6 | Q333X4 | Q49IM5 | Q49IM6 | Q4EW05 | Q4EW06 | Q4FE19 | Q4FE20 | Q59AE6 | Q59AE7 | Q5CCG6 | Q5CCG7 | Q5DVQ1 | Q5DVQ2 | Q5QPZ7 | Q5QPZ8 | Q5QPZ9 | Q6A1H1 | Q6A1H2 | Q6A1H3 | Q6A1H4 | Q6KC49 | Q6Y8J3 | Q70E14 | Q70E15 | Q70E16 | Q70E17 | Q70HW2 | Q70P87 | Q70VV1 | Q7LGF4 | Q86SJ7 | Q86SN4 | Q86SN5 | Q86UI2 | Q86UI3 | Q86UI4 | Q8IUC5 | Q8NDV4 | Q8NDV5 | Q8NFY1 | Q8NFY2 | Q8WWL0 | Q96KN0 | Q96KU1 | Q96KU2 | Q96QG8 | Q99673 | Q99906 | Q9H248 | Q9H4C7 | Q9HCC3 | Q9NXY8 | Q9UDZ3 | Q9UDZ4 | Q9UDZ5 | R4I4U8 | S5VXN0 | S6EY87 | S6FLQ0 | T2DJN4 | T2DKY0 | T2DL33 | T2DL93 | T2DL95 | T2DLL5 | T2LKG5 | T2LLM0 | T2LLM2 | T2LLP2 | U5U1V4 | U5U2J9 | U6Q0X6 | W6AWA2 | W6AWA7 | W6AWB5 | W6AWK9 | W6AWL4 | W6AWL8 | W6AX83 | W6B6A7 | W6B6B2 | W6PPJ2 | W6S1I0 | A0A023W4F4 | A0A023W596 | A0A059XI04 | A0A059XMR3 | A0A068J745 | A0A078BRP7 | A0A078N210 | A0A096ZG20 | A0A098E5P3 | A0A0A1CEV8 | A0A0A1CJK9 | A0A0A1TE45 | A0A0A1TJK6 | A0A0A1TSG7 | A0A0A1TST1 | A0A0A1TTP9 | A0A0A8WEA9 | A0A0A8WGH0 | A0A0A8WIW4 | A0A0D6EFI1 | A0A0E4AYH7 | A0A0E4FHS6 | A0A0K0QNW0 | A0A0K0QP18 | A0A0K0QP22 | A0A0K0QP25 | A0A0K0QPX0 | A0A0P1IVP9 | A0A0P1IVQ0 | A0A0P1IVV5 | A0A0S1Z226 | A0A0U5KVZ8 | A0A120HTJ0 | A0A140FA43 | A0A140FA44 | A0A140H959 | A0A140H960 | A0A140H961 | A0A140H962 | A0A140H963 | A0A140H964 | A0A140H965 | A0A140H966 | A0A140H968 | A0A140H969 | A0A140H970 | A0A140H971 | A0A140H972 | A0A140H973 | A0A140H9G4 | A0A142DDY4 | A0A161I057 | A0A161IHP0 | A0A168DYK5 | A0A168DYM0 | A0A181C4Y8 | A0A193DUF0 | A0A193L2Y3 | A0A1A9C795 | A0A1A9C7Q9 | A0A1A9C8M5 | A0A1A9C8T4 | A0A1B1R0Y1 | A0A1B3TP62 | A0A1B3TP94 | A0A1B3TPB5 | A0A1B3TPB8 | A0A1B3TPB9 | A0A1C3MVZ2 | A0A1C9FQS2 | A0A1D8QM54 | A0A1J0CQB1 | A0A1L3H060 | A0A1L3H061 | A0A1L3H062 | A0A1L3H065 | A0A1L3H066 | A0A1L3H067 | A0A1L3H068 | A0A1L3H071 | A0A1L3H072 | A0A1L3H073 | A0A1L3H074 | A0A1P8J804 | A0A1P8P1T5 | A0A1P8P1T7 | A0A1P8P1U7 | A0A1S6WMA9 | A0A1U9WYX8 | A0A1U9WYY4 | A0A1U9WYZ0 | A0A1U9WYZ1 | A0A1U9WYZ6 | A0A1U9WYZ8 | A0A1U9WZ05 | A0A1X9Q216 | A0A1Z1VMX4 | A0A1Z2RTW8 | A0A220K802 | A0A221C5N7 | A0A221C5S3 | A0A5J6CHI5 | A0A5J6CHS0	N.A.	Rh4 | RHPII | DIIIc | Rh blood group C antigen | truncated rhesus blood group D antigen | truncated rhesus D | rhesus blood group | Rhesus blood group antigen D | blood group Rh(D) polypeptide | RHXIII | blood group antigen D | truncated RhD | Rh blood group CcEe antigen | MGC165007 | RhD blood group antigen | RhD antigen | Rh blood group antigen Evans | RhD polypeptide | RhII | RhK562-II | RhDCw | rhesus D antigen | RH polypeptide 2 | truncated Rh blood group D antigen | Rhesus blood group D antigen allele DIII type 7 | RHDel | RH | RhPI | truncated RhD antigen | blood group protein RHD | RHCED | Rh blood group, D antigen | Rh blood group CE antigen | D antigen (DCS) | RHDVA(TT) | Rh blood group, D anitgen | Rhesus system D polypeptide | RH30 | CD240D	MGI:1202882:Rhd
